timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
2025-03-03 13:59:28.183000,-2.3832086135259196,-150.09323566928248,-133.18658384466264,-137.08032101004457,-90.55568559345734,-143.22443655900608,-135.67410143783815,-120.66892280125772,-116.07874238913169,-130.2945891985245,-142.71710023417103,-136.4325834173714,-120.74574787028733,-124.56671073566508,-143.7321948371793,-143.65621331733269
2025-03-03 13:59:28.187000,-0.6463648475418513,-143.91141584399574,-127.28924009609656,-131.35878870977473,-87.20655677104557,-137.61846506802934,-130.03101276563604,-115.3936949076641,-111.58541926319734,-125.18844656327802,-137.22530564772538,-130.74848434245254,-115.78848598137145,-119.0870903885497,-137.11489928595765,-137.5547866270773
2025-03-03 13:59:28.191000,0.7747001874979779,-136.54429335977943,-120.36097294303968,-124.51758430931119,-83.10406972647156,-130.8289212770033,-123.29134163314454,-109.21803403711542,-106.13005984217128,-119.08336910612185,-130.59763473246213,-124.0159300786227,-109.8918350007485,-112.65240222082339,-129.49302607082984,-130.3087676502324
2025-03-03 13:59:28.195000,1.8717978362952592,-128.44185657830946,-112.829410563616,-116.98274367287416,-78.4908195333607,-123.29401093119844,-115.86433230787937,-102.51543786407406,-100.0363988249051,-112.33931097873459,-123.23420607696872,-116.63926996073238,-103.41090025760633,-105.63163391236534,-121.27985834907788,-122.32445333770808
2025-03-03 13:59:28.199000,2.6541034275244098,-120.01278756590656,-105.08066215010989,-109.14599804875536,-73.58871307294815,-115.41638257280772,-108.12488910821624,-95.62509648619408,-93.5999444075241,-105.28053620482675,-115.49538183456278,-108.97996462736577,-96.66886648894332,-98.35522788676546,-112.83968775794027,-113.96370497784027
2025-03-03 13:59:28.203000,3.156076053221438,-111.59886803636161,-97.43360584733803,-101.33827966797989,-68.58408760222139,-107.5355919294241,-100.3891482495366,-88.82874887008938,-87.0677756312792,-98.17319580650566,-107.6785515346314,-101.33481942684993,-89.93542189702379,-91.09278558807031,-104.46406505828111,-105.52719352787534
2025-03-03 13:59:28.207000,3.433940681412676,-103.45466540144741,-90.12150524039976,-93.80934192315169,-63.61686987777475,-99.90644990798236,-92.89679784264968,-82.33437617787314,-80.6245584962154,-91.2105984479192,-100.00360770411287,-93.92322983907212,-83.41260480331867,-84.03990214865449,-96.35766983461718,-97.24505637007859
2025-03-03 13:59:28.211000,3.5486591744761182,-95.74796286190231,-83.2934215503592,-86.72675291649722,-58.78351515554008,-92.69757913058453,-85.81202334207221,-76.27835916944402,-74.39536364474789,-84.51748031631418,-92.61703617167367,-86.89115427137358,-77.23716727027349,-77.32287565703433,-88.64419627071189,-89.27965425761256
2025-03-03 13:59:28.215000,3.550244133602182,-88.57739999917075,-77.03027099836537,-80.1896503755326,-54.14909461865975,-86.00615351993044,-79.23702204464132,-70.73962406519111,-68.45972512526609,-78.16626219652588,-85.60752219610688,-80.32479579290225,-71.49233750480731,-71.01391189278806,-81.3854720965405,-81.73788713991995
2025-03-03 13:59:28.219000,3.4766179767829755,-81.9883815015695,-71.35892104424134,-74.24080861160068,-49.75633724830481,-79.87185063654809,-73.22229852303009,-65.74971884459451,-62.86327007902962,-72.19068936666726,-79.01933681092224,-74.26108604677565,-66.21604598181315,-65.14402877977669,-74.59929612530202,-74.68566543475598
2025-03-03 13:59:28.223000,3.360195509060456,-75.97853284710476,-66.25802812745049,-68.87079405583809,-45.627527626061365,-74.28327526323453,-67.76960935816523,-61.29471949893408,-57.62204644381852,-66.59218403572257,-72.85909605963047,-68.69242908851459,-61.403672058390306,-59.710009170030716,-68.26976442821945,-68.15786250676973
2025-03-03 13:59:28.227000,3.229305018532924,-70.50223207955747,-61.66452457844684,-64.02340565183871,-41.76523745703716,-69.18572081831739,-62.837691118303695,-57.31895718209812,-52.72598711738014,-61.34437641190458,-67.10115402949758,-63.57357705906582,-57.013136906341956,-54.68059626772341,-62.354132490974514,-62.161060135492576
2025-03-03 13:59:28.231000,3.1069944506980525,-65.48022752926168,-57.48544959864138,-59.607456530690314,-38.156496001808286,-64.49443272223145,-58.354553004839985,-53.735214084862776,-48.14636983809702,-56.400022723299124,-61.69618368534353,-58.83329133639656,-52.97466504041826,-50.00540853862077,-56.79136796506201,-56.67244809055109
2025-03-03 13:59:28.235000,3.013034717066462,-60.8101680079564,-53.60977496994741,-55.509583608651,-34.77683413846852,-60.10706756584463,-54.22905693362085,-50.43553593609561,-43.842242661946905,-51.69757444092052,-56.58030548884452,-54.3855873783078,-49.20028072692423,-45.622482034511116,-51.51133149441608,-51.64146200649219
2025-03-03 13:59:28.239000,2.9660440474492997,-56.375473690641115,-49.9161607621125,-51.60384660895436,-31.588473085052023,-55.910982817895274,-50.35711480563444,-47.29795079777615,-39.758235868792816,-47.16107182623419,-51.67668817833284,-50.1364718428464,-45.5899579857262,-41.45723180483286,-46.436154092362344,-46.99252218930377
2025-03-03 13:59:28.243000,2.985240311601336,-52.05109427427802,-46.27633401886352,-47.75710618495061,-28.534143147281306,-51.78551463195795,-46.62285630608222,-44.189098508570034,-35.816244294777356,-42.69383875622564,-46.888746604846844,-45.984771683337826,-42.03408818550044,-37.41466687912578,-41.471498370564575,-42.622996198686494
2025-03-03 13:59:28.247000,3.093707058502697,-47.70454338107588,-42.55589112126854,-43.83115693769568,-25.534409830732383,-47.601507098421926,-42.89717063241208,-40.965698221472465,-31.912256044535436,-38.17611023683074,-42.096354936873865,-41.818740422257854,-38.41322000125888,-33.37702681826547,-36.500582013976846,-38.400068215181605
