timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
2025-03-03 14:24:31.602000,-3.1670141777178333,-84.21954758083422,-73.0879691537523,-75.97246867071802,-74.52510448300256,-67.63649972337579,-39.229031442249436,-48.12148791268482,-83.04400818674218,-137.33756880822685,-259.0798938840208,-66.72751437155706,-7.079681542052416,-138.78373310459386,-399.8879762730278,-1389.577443742778
2025-03-03 14:24:31.606000,-1.335471882294452,-89.49900058986408,-77.64141557614744,-80.55792492586671,-83.38878225906015,-73.96433342413917,-45.70427858972941,-53.50725652061826,-96.92332454419073,-157.9075127069365,-287.81936134045674,-75.22261466834586,-12.668015860887442,-154.2270866502816,-431.4342690772497,-1478.4890669749436
2025-03-03 14:24:31.610000,0.5755695661278802,-93.17636749459109,-81.06068215750695,-83.93201678194066,-91.37385881933228,-79.13368867729669,-51.166878359321906,-58.09348166987713,-109.46829362886794,-176.3963322635051,-313.20649622749386,-82.25642469165689,-17.61271332141115,-167.6444808204176,-456.74286832616883,-1544.0183371413
2025-03-03 14:24:31.614000,2.6205209948587633,-95.11678079110192,-83.1656741362146,-85.91733404127115,-98.11622761908929,-82.91310527631408,-55.38663910948119,-61.66260124799761,-120.13981324033064,-192.0306274188777,-334.11942261524916,-87.52463831370632,-21.711792810346125,-178.43300078138043,-474.582246368023,-1582.6091106162057
2025-03-03 14:24:31.618000,4.718563049886187,-95.27650735380392,-83.8669670975269,-86.43138608154533,-103.30321834901308,-85.16769814235997,-58.24398467128258,-64.09970340639906,-128.50079338118545,-204.18153596244147,-349.6283028823298,-90.87161661203119,-24.889847158181247,-186.14536732494707,-484.0535420806719,-1591.7345787615707
2025-03-03 14:24:31.622000,6.653766940042722,-93.88790542972741,-83.33337557403395,-85.64884812517892,-106.84698014439287,-86.0303524423693,-59.88059830128466,-65.54397664285653,-134.3814142615179,-212.5242341304381,-359.170427862321,-92.3975606645763,-27.271260752801506,-190.62629936119222,-484.74006518572,-1570.1312571257047
2025-03-03 14:24:31.626000,8.290046399782455,-91.32258621507643,-81.8479809541932,-83.85520994329475,-108.78601867411352,-85.747877561161,-60.53002812163301,-66.21317067581685,-137.72845421653878,-216.88014820646748,-362.40630490420887,-92.30977544561372,-29.03788409188348,-191.83635953496469,-476.53784404984884,-1517.7053450061658
2025-03-03 14:24:31.630000,9.699215607756203,-87.80461510289855,-79.5432312047256,-81.18415726982157,-109.06157733070445,-84.40679463812145,-60.25199785151963,-66.13484718903736,-138.36507381282482,-216.98985690946046,-359.0060693554553,-90.7097674767029,-30.2500777140368,-189.62342514887854,-459.4437368138204,-1435.3599106672873
2025-03-03 14:24:31.634000,11.021205615417397,-83.35652469023428,-76.37522095019048,-77.59458507452165,-107.48982482385378,-81.91259068738388,-58.92969761082659,-65.1506622103939,-136.01365188155543,-212.5586638033379,-348.7018114396404,-87.58913588695079,-30.853627825136567,-183.77420805761778,-433.61880499560425,-1325.0144846902076
2025-03-03 14:24:31.638000,12.25089927438746,-78.0319345373838,-72.35838896095792,-73.10430136664607,-103.9722624174094,-78.23763469233391,-56.51902373327668,-63.17618654954782,-130.56047529965127,-203.5257778465843,-331.5513518465965,-83.01652566026628,-30.83978349562556,-174.27959066869974,-399.6358657983326,-1189.7320132848117
