timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
2025-03-03 14:12:04.942000,-35.20358833525921,-31.99179751456745,-36.05325397473932,-35.592589984628816,-18.940057136598977,-29.816812581709137,-34.070353816251085,-32.816183210890955,-22.555269765945763,-24.689070397768376,-27.752144880023657,-37.21666243591849,-35.956637878018626,-28.951390185041067,-35.54653361333651,-26.976520360078542
2025-03-03 14:12:04.946000,-35.63740430955495,-73.47433326322133,-72.68373857682067,-72.3692348798106,-43.07212830933365,-68.88477801540634,-70.6846653908529,-64.56830115937943,-53.1752077371029,-59.83265164153386,-66.90036191555578,-73.33445219187495,-68.39286696835843,-62.4695285348628,-75.5996048724136,-69.38011667605912
2025-03-03 14:12:04.950000,-34.91026599630181,-111.52314083714532,-106.24146375500759,-106.05856864565227,-65.16497376938476,-104.75598144747642,-104.19438458355184,-93.49718693414827,-81.25446009161793,-92.03369759639168,-102.82076952195781,-106.14287569200333,-97.81984972457148,-93.06558430269016,-112.11789534794875,-108.46879429980284
2025-03-03 14:12:04.954000,-33.14070942322832,-145.17841939985883,-135.87588493749092,-135.8136344015342,-84.6750141425856,-136.53642837458926,-133.76942404930548,-118.89509459712656,-106.08434493645672,-120.48562799557683,-134.61275913923373,-134.83702114795742,-123.51246003586353,-119.97790700974494,-144.19258762747725,-143.2322382107755
2025-03-03 14:12:04.958000,-30.482486166879443,-173.71788789765037,-160.94197977189413,-160.99225597032952,-101.19184332560486,-163.54658302148036,-158.7844698018723,-140.23803217976936,-127.12338834907328,-144.5782703235372,-161.58959894081843,-158.8248241244852,-144.9377570078547,-142.6350804791556,-171.13774124597637,-172.88581492660518
2025-03-03 14:12:04.962000,-27.110877135223806,-196.6666538293449,-181.01321885239173,-181.1686453646279,-114.45057776480577,-185.33397064498922,-178.8283624456175,-157.19485702316285,-144.01512321280748,-163.9176453818941,-183.2999098727965,-177.73648358794452,-161.76314584472854,-160.67276291289895,-192.5109575860087,-196.89061911320684
2025-03-03 14:12:04.966000,-23.207363934784144,-213.78880279346293,-195.87748238738553,-196.12826592874333,-124.32698325927372,-201.6686968582089,-193.69803312931003,-169.6189746030298,-156.58314147986624,-178.32165606696785,-199.52594465675833,-191.4193414703552,-173.85176699998448,-173.92901820853564,-208.11342452196325,-214.96054525394717
2025-03-03 14:12:04.970000,-18.95629098926428,-225.0742061940434,-205.52598511284887,-205.8572449923927,-130.81996952629277,-212.53258845642685,-203.3881235910923,-177.53376370487305,-164.8117712818818,-187.79785405717104,-210.26308859974966,-199.9269341045908,-181.25204225754658,-182.4246116185179,-217.9737250866552,-227.05560128932964
2025-03-03 14:12:04.974000,-14.547145892927668,-230.7276759884737,-210.1421967257521,-210.53337924750232,-134.03521508840328,-218.1087026563384,-208.0818286012895,-181.1207730327307,-168.82882928756644,-192.51818238422425,-215.69351108360607,-203.5039965478118,-184.1829878304528,-186.34089781170027,-222.3230481694787,-233.35801440341177
2025-03-03 14:12:04.978000,-10.162308134849287,-231.1451770971054,-210.0798915217071,-210.5063226709491,-134.17311478813585,-218.758754727538,-208.12988257701736,-180.7013458233085,-168.89079190556484,-192.79335817110464,-216.15618136555435,-202.55638855379357,-183.0065230117734,-185.9953678304582,-221.56031647080277,-234.2295422977724
2025-03-03 14:12:04.982000,-5.949973372924843,-226.86176179228508,-205.8177649506195,-206.25258807633895,-131.50993094411632,-214.97465876500542,-204.00416529139375,-176.69751107705233,-165.35577167780144,-189.0358439086857,-212.10349566701038,-197.5977845468996,-178.17963666492312,-181.80337462065702,-216.19950551788202,-230.15165030619676
2025-03-03 14:12:04.986000,-2.002221735442187,-218.47772790599768,-197.894640996381,-198.30919519880285,-126.36281806992547,-207.30893325416451,-196.23078234243923,-169.5730824571306,-158.63517434311544,-181.7036739601958,-204.03880800591648,-189.180521869953,-170.19269111099572,-174.2208040580783,-206.7987038550588,-221.6551295478757
2025-03-03 14:12:04.990000,1.6509114328342878,-206.58110808295376,-186.8403407199637,-187.20301236324553,-119.04543043664123,-196.3009794053279,-185.3200179100309,-159.7710404544142,-149.134147400782,-171.2350716658719,-192.44664640843996,-177.82716052984406,-159.50935611961336,-163.68100102499585,-193.88551960907566,-209.25157419922948
2025-03-03 14:12:04.994000,5.037443814224689,-191.6796660624973,-173.1152499736379,-173.39072467727425,-109.83092440649824,-182.413314401381,-171.7075348969103,-147.66371178116478,-137.20228200107078,-157.99474833212727,-177.7358126078384,-163.97451065922382,-146.51903369763147,-150.5462207239881,-177.89692515918784,-193.37544198517628
