timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
2025-03-03 14:22:42.906000,34.20885937937812,-90.06389650810233,-70.85785208084098,-64.46403874449858,-85.03625722517057,-146.12805498544145,87.44432751881415,-147.37832636964725,-3.6824451635728397,-35.217662204666716,-78.80817937755239,-137.66671870462156,-63.122584472534555,-45.87065636353725,-112.45486873401485,-113.1628563619547
2025-03-03 14:22:42.910000,32.82562355661025,-100.63485162092144,-80.40975761540899,-75.01684842202141,-89.23199707974504,-150.25749018195228,73.08330923842401,-151.30261370565105,-16.83252876560202,-47.874621328025306,-88.19209206400966,-142.5599893719668,-72.5538197717602,-57.411168375819905,-120.96428161451384,-124.23468022708217
2025-03-03 14:22:42.914000,31.435753561340103,-112.65064660269756,-91.37486556240903,-87.01855733221906,-95.06690805322532,-155.98363244872007,56.975475868213564,-156.8334995078086,-31.792856301982102,-62.36536474084895,-99.26064076007654,-149.0618427647142,-83.54859399984863,-70.72853559910382,-131.27408169900687,-136.86296470728502
2025-03-03 14:22:42.918000,30.049669474505798,-126.0437476758099,-103.7366281933504,-100.45080178549304,-102.54626099898401,-163.16451645418485,39.14205124043472,-163.82917908004802,-48.57309125754248,-78.72139030864004,-112.01811828065819,-157.0598299524039,-96.1279128057006,-85.8230015242527,-143.36359316766254,-150.96864590610318
2025-03-03 14:22:42.922000,28.586187901712606,-140.8403030154045,-117.55145207305597,-115.36678277274156,-111.63515227537103,-171.7506560083584,19.52130295090946,-172.22827770239476,-67.16206768630214,-96.94101080638005,-126.42653382050536,-166.51783252209063,-110.35619562932297,-102.66357112685523,-157.17292971124172,-166.4283740725191
2025-03-03 14:22:42.926000,27.141851657909623,-156.93260880452013,-132.71805633322398,-131.65782413430182,-122.13270286991578,-181.5403615670271,-1.7726035022371665,-181.79273933416053,-87.3666529858299,-116.81975387989402,-142.24770705597408,-177.21949784462913,-126.11612244754309,-121.0227927288542,-172.4356333090004,-182.92469961582168
2025-03-03 14:22:42.930000,26.02286099868148,-173.84265542232052,-148.76812184423073,-148.84611598793464,-133.55875813660586,-191.96959422518938,-24.243614143054444,-191.92047197424867,-108.68956063994939,-137.83944166004915,-158.94834183062096,-188.59531995691844,-142.94735210386105,-140.37883120702256,-188.59572003468412,-199.88234969559687
2025-03-03 14:22:42.934000,25.454209304277725,-190.87750053097142,-165.03972063716532,-166.25994488058538,-145.2816033639838,-202.30836642153483,-47.21578044678361,-201.87111378657485,-130.48417793511743,-159.3402159591579,-175.8733379272978,-199.94965496887895,-160.23582280019636,-160.08919517370143,-204.99535249304105,-216.64967234711952
2025-03-03 14:22:42.938000,25.34667176795109,-207.54679028170986,-181.07404303690288,-183.42739083444732,-156.79662441825147,-212.0785268278493,-70.24168717721757,-211.17878265260936,-152.25448672349307,-180.82127086101232,-192.53132264422467,-210.84725689433012,-177.55778577483045,-179.67314313300912,-221.15119204724698,-232.7495570161564
2025-03-03 14:22:42.942000,25.457244926687483,-223.71715501525196,-196.7338976933564,-200.19055903653427,-167.827806082198,-221.1637106864072,-93.19642746130641,-219.72740951608554,-173.73707975217593,-202.00752336627787,-208.65057466187346,-221.15950448280006,-194.7364071062793,-198.86006488129152,-236.78525842149966,-247.89813239727056
