timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,label
2025-03-03 13:19:12.935,3.646101905881391,-9.869235700189307,-6.083021299712079,-6.667271452729971,-15.29598042067835,-6.547305037318855,-7.067984371858799,-5.548248754766767,-12.10669826240528,-11.876946115884632,-10.33422623095774,-9.717606967051603,-12.20817117701226,-11.440456217345613,-11.733802408326811,-15.150718108952672,0
2025-03-03 13:19:12.939,3.39563530279404,-9.483849872273524,-5.486362478224183,-6.598443037440827,-14.823687371764995,-6.616132701507528,-6.9680509330401055,-5.383465652255725,-11.68179440369764,-11.613137979676834,-9.96830051680497,-9.543321053854893,-12.072649369245235,-10.870632548161767,-11.313640127179497,-14.90310849867418,0
2025-03-03 13:19:12.943,3.1573524040400907,-9.062508426081289,-4.878217170920806,-6.475819494586792,-14.233447877026425,-6.659754161914671,-6.805598975323461,-5.25097792732628,-11.241356233397791,-11.357108998195004,-9.535436451682193,-9.343906293834646,-11.741041352424704,-10.321900525815792,-10.888960231847472,-14.625109882285816,0
2025-03-03 13:19:12.947,2.9465578938373285,-8.615186083248801,-4.273292073248844,-6.293712041097701,-13.534694507563872,-6.667790697418214,-6.580730223326524,-5.141394218406666,-10.80160365801236,-11.107383880143066,-9.05076409367132,-9.078592490876082,-11.189502607254765,-9.816051303329926,-10.467235009831535,-14.338190482768702,0
2025-03-03 13:19:12.951,2.776872261976487,-8.147416625829933,-3.6790131735131593,-6.04413430435716,-12.737335123282998,-6.627556111443095,-6.29291153596204,-5.035748091132555,-10.371857688908303,-10.85733661690343,-8.52693582630007,-8.732595508505081,-10.417698833580651,-9.364498517415386,-10.04803825876391,-14.0577860294328,0
2025-03-03 13:19:12.955,2.660135699265957,-7.660965374803351,-3.0963460704242123,-5.71912065175148,-11.85234491818714,-6.525558887012006,-5.941141733321262,-4.908315660821497,-9.953890356062567,-10.59795125849572,-7.973886492473841,-8.308441666808646,-9.43812269983013,-8.96809964285524,-9.62479794193722,-13.790294948099923,0
2025-03-03 13:19:12.959,2.6060240265535275,-7.157190499976078,-2.5227795698125544,-5.314931124533715,-10.89226866040379,-6.350983146654394,-5.526112296779764,-4.731929879929067,-9.54395407867496,-10.321422738195436,-7.400299167933953,-7.800691567589943,-8.257644534113627,-8.619358422247057,-9.187335856440097,-13.526980590259525,0
2025-03-03 13:19:12.963,2.621553849944995,-6.6386401122093055,-1.9536930674544064,-4.833799913689959,-9.870377613189373,-6.097577261930824,-5.05141333814936,-4.481888679746175,-9.134451062280624,-10.021433023188552,-6.813138160666039,-7.189168336074402,-6.877501153924559,-8.303776060923777,-8.722635830048693,-13.24310995709178,0
2025-03-03 13:19:12.967,2.710333137794383,-6.1065065232082,-1.381036254759472,-4.281812575129968,-8.79866093637203,-5.76253579131827,-4.522274568136651,-4.136820042917827,-8.71331151515299,-9.690093352882297,-6.214755700957686,-6.460763927692124,-5.312657029036781,-7.999265140555947,-8.21450643141101,-12.905827242217258,0
2025-03-03 13:19:12.971,2.869689024338954,-5.557811844329283,-0.7932394993133646,-3.6666438778931583,-7.687134213532605,-5.345896234940589,-3.945082085855087,-3.6798567250736807,-8.26413774795286,-9.316984851675882,-5.602076610245577,-5.631983978273392,-3.604923343778849,-7.677566846671831,-7.646446427719032,-12.484341715125783,0
2025-03-03 13:19:12.975,3.087004323999714,-4.9873610319203605,-0.1794141498714817,-2.998765369751012,-6.546962123841185,-4.853464738115948,-3.33051216332147,-3.1032393667143685,-7.770871907980598,-8.894008445938054,-4.971013316286146,-4.742469639808092,-1.8111606593703724,-7.311214377320739,-7.009572077081603,-11.954278537221777,0
2025-03-03 13:19:12.979,3.3401421482638245,-4.3928707468164685,0.4653766829608992,-2.293739048406949,-5.395297997989888,-4.299587805488303,-2.696507415294265,-2.412992874821195,-7.224589892773227,-8.421651540301227,-4.321993483936812,-3.828988252378421,0.0192354160358837,-6.881864277427891,-6.309616201057079,-11.296374358953331,0
2025-03-03 13:19:12.983,3.602510019788656,-3.7764363667836287,1.1396434534704576,-1.569769706184575,-4.255633530832877,-3.7035526868721456,-2.064919214500898,-1.6268438533224123,-6.625544463121564,-7.90872685598702,-3.6594678789933255,-2.916732988488132,1.8489907564193804,-6.3821067524398,-5.5649948036390064,-10.49582992897692,0
2025-03-03 13:19:12.987,3.8473232676427607,-3.140547471272327,1.8395469266769968,-0.8408670087759597,-3.151564281187885,-3.081632303193941,-1.453399497013108,-0.7657656565648392,-5.978711171499224,-7.365159971421256,-2.985456003451266,-2.037094150170962,3.637738706298173,-5.81045052543494,-4.797406278449908,-9.545024929147344,0
2025-03-03 13:19:12.991,4.047546767167972,-2.486359315115227,2.559522481172105,-0.1146679976128395,-2.100959058571328,-2.4455531497681458,-0.8723260002362628,0.150606228387746,-5.290462363223535,-6.797405435122317,-2.296338396168837,-1.2408475668942007,5.332362321361313,-5.1686251400287695,-4.025986502669683,-8.446668119910127,0
2025-03-03 13:19:12.995,4.17430587225147,-1.821028683694848,3.2845236420368984,0.5992458999876324,-1.118962507160585,-1.812393353315624,-0.3320966451271829,1.098010190271124,-4.573805153846688,-6.21419156054783,-1.5896448827614085,-0.5867552040545889,6.874522488973362,-4.468045948897863,-3.272013364923114,-7.215572754356993,0
2025-03-03 13:19:12.999,4.198677507294796,-1.1689769320117012,3.98086348808006,1.2777166495471746,-0.2286348097970065,-1.2167626731282413,0.1463722157812704,2.038239253462137,-3.858812476490644,-5.638029895138892,-0.8755861274277678,-0.1230966483170155,8.209825568918859,-3.740603863618064,-2.5686028335941957,-5.881210896396473,3
2025-03-03 13:19:13.003,4.097078219796114,-0.5759901214565974,4.596130365393772,1.880726112294017,0.5295624800757379,-0.7139339749051707,0.5283146824709453,2.917541808050466,-3.198784440401353,-5.112097317208917,-0.1831425186022703,0.1134722621489529,9.283311198081083,-3.044208821155409,-1.965764660327865,-4.493014898726727,3
2025-03-03 13:19:13.007,3.856021895139359,-0.1033266492872172,5.068679316165305,2.358179870615448,1.0949798221301026,-0.3735294013099763,0.7700660038105237,3.67379296876433,-2.6685112172305208,-4.698568360577027,0.4423541992789805,0.08304605965484,10.027297184916993,-2.4605936462083,-1.5285312823793742,-3.1254584661121565,3
2025-03-03 13:19:13.011,3.474463857400586,0.181961783493941,5.339025056312855,2.659173900141244,1.3903530426523076,-0.2705653736483954,0.8260156157034803,4.245916919912416,-2.358329312538546,-4.472013469776995,0.945528585015387,-0.2621766055888602,10.363886614560997,-2.089356431683928,-1.3319778354765068,-1.8752600460419055,3
