timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
2025-03-03 13:36:41.519000,-4.316906766115514,-30.560550017533153,-27.487291206902505,-29.715072498513212,-7.325107687106846,-29.637508552283947,-27.10518463066908,-25.77967085740868,-18.265321305372257,-22.25850580141383,-24.680627675348536,-26.148321164158933,-22.812570224080627,-21.73908795845064,-28.390462809319818,-18.332229480472282
2025-03-03 13:36:41.523000,-5.321922145875474,-37.83350116287572,-33.86057360386255,-36.75648179792378,-10.135945484279846,-36.29598881109047,-33.41583726706321,-31.200768399329725,-22.726707319197327,-27.621660635567867,-31.307982100546443,-33.2702335811158,-28.417056978588185,-27.576373171527063,-35.435041655196514,-29.114269646401034
2025-03-03 13:36:41.527000,-6.455994426081892,-45.625588530270385,-40.68571064191294,-44.24337195878545,-13.33306612865094,-43.4213963940026,-40.17414213098678,-37.02154223872709,-27.59614040914012,-33.42727970228674,-38.35780635026494,-40.670608727921135,-34.527984599252136,-33.84472490970085,-42.99143078563042,-40.71974736229322
2025-03-03 13:36:41.531000,-7.663684967544672,-53.880086528144155,-47.93655217715605,-52.11615102533858,-16.90051293698964,-50.96625694617722,-47.32394328575391,-43.20111180901935,-32.84509572448292,-39.63179602390169,-45.75859771081288,-48.26194963117526,-41.06102049906454,-40.49991420821106,-50.994160618523,-52.97121780524787
2025-03-03 13:36:41.535000,-8.872052485039434,-62.50242419924949,-55.54908540213056,-60.28263564556148,-20.793776998285573,-58.84234942681534,-54.77203783096741,-49.662905028585364,-38.405697157155494,-46.15040873754859,-53.401289422500874,-55.92164632962125,-47.89600457476328,-47.459506409394955,-59.33061652977,-65.63343625298842
2025-03-03 13:36:41.539000,-10.000247230869368,-71.36042412844967,-63.421485686590145,-68.61858809843095,-24.94024591386515,-66.9223641993692,-62.38982981774386,-56.29520561912764,-44.17255966835493,-52.86249522677341,-61.14463517331611,-63.510573304912235,-54.88661340719892,-54.60614204937001,-67.84624862104009,-78.43005816608242
2025-03-03 13:36:41.543000,-10.970251094627297,-80.29213266405013,-71.42206744659046,-76.97492732365154,-29.244679280331024,-75.04972916527234,-70.02241790709597,-62.95980102107517,-50.013208031167714,-59.62379186861943,-68.8263405958237,-70.8838352132155,-61.86830215958288,-61.79797144409615,-76.35600465929376,-91.06099274617165
2025-03-03 13:36:41.547000,-11.71547661701385,-89.11536395500133,-79.3990274845078,-85.1858036486428,-33.59561432593104,-83.04918438805967,-77.4988005931863,-69.50215236971388,-55.778513992663,-66.27614312726237,-76.27302893032687,-77.90665100464864,-68.6678842893791,-68.87774581164098,-84.65479390600849,-103.21770669681754
2025-03-03 13:36:41.551000,-12.187221027063444,-97.63393869802584,-87.18612466170939,-93.0731580055097,-37.870186515512174,-90.73387711108245,-84.63904661853522,-75.75793316108422,-61.308788477433325,-72.65130142941281,-83.30614509967971,-84.46992233696952,-75.11350708879641,-75.67750632409934,-92.52521305224685,-114.59717045309644
2025-03-03 13:36:41.555000,-12.359601254719584,-105.64476267922038,-94.60652051111329,-100.45160150314398,-41.939854162605265,-97.91315260814486,-91.26168365067662,-81.55931727554331,-66.44069724653615,-78.57572729848242,-89.7485091258592,-90.4841277083318,-81.04078122915085,-82.02522779340244,-99.74867260053476,-124.91547637320289
2025-03-03 13:36:41.559000,-12.231449622367645,-112.95223292561171,-101.48150090030488,-107.14022887934689,-45.680475357678176,-104.40578066706318,-97.19660778099029,-86.74730315135476,-71.02055125034813,-83.88317793517365,-95.43650654755216,-95.8550163766548,-86.29672823951226,-87.75826935359261,-106.12362345821171,-133.92170843462574
2025-03-03 13:36:41.563000,-11.82260379474807,-119.38711922156065,-107.64507362421894,-112.9801578328058,-48.98467030478085,-110.0557877773983,-102.30171368747537,-91.18837180632208,-74.9205813371875,-88.43184567890312,-100.2352613829824,-100.4686514856461,-90.74626710199685,-92.73895038739911,-111.48551374420654,-141.41113972106777
2025-03-03 13:36:41.567000,-11.165279741701244,-124.81932407545096,-112.9572133067769,-117.84825558011977,-51.770057666964036,-114.74297379923412,-106.47391219936323,-94.78614190343487,-78.04898953456264,-92.11606563864157,-104.0485631304009,-104.20461460854207,-94.28290827008672,-96.8633419736954,-115.7188836462113,-147.23534563786248
2025-03-03 13:36:41.571000,-10.29599323776416,-129.15892056653934,-117.30953427172734,-121.66040220089656,-53.97991405990793,-118.38450988104006,-109.64917914764587,-97.48268941451443,-80.34943580477189,-94.86697159677604,-106.81929209544963,-106.97381829598001,-96.84144355747897,-100.06035506446611,-118.75717447915937,-151.30792013222543
